split,label,total,positive,negative,uncertain,blank,available,definite_support,positive_prevalence,uncertain_ratio,missing_ratio,rare_positive_flag,cold_start_flag
train,No Finding,223414,22381,0,0,201033,22381,22381,1.0,0.0,0.8998227505885934,False,False
train,Enlarged Cardiomediastinum,223414,10798,21638,12403,178575,44839,32436,0.24081714578826469,0.27661187805258813,0.7993008495438961,False,False
train,Cardiomegaly,223414,27000,11116,8087,177211,46203,38116,0.5843776378157263,0.1750319243339177,0.7931955920398901,False,False
train,Lung Opacity,223414,105581,6599,5598,105636,117778,112180,0.8964407614325256,0.04753009899981321,0.47282623291288817,False,False
train,Lung Lesion,223414,9186,1270,1488,211470,11944,10456,0.7690890823844608,0.1245813797722706,0.9465387128828094,False,False
train,Edema,223414,52246,20726,12984,137458,85956,72972,0.6078226069151659,0.15105402764204942,0.61526135336192,False,False
train,Consolidation,223414,14783,28097,27742,152792,70622,42880,0.20932570587069185,0.39282376596527996,0.6838962643343748,False,False
train,Pneumonia,223414,6039,2799,18770,195806,27608,8838,0.21874094465372357,0.6798753984352361,0.8764267234819663,False,False
train,Atelectasis,223414,33376,1328,33739,154971,68443,34704,0.48764665488070363,0.4929503382376576,0.6936494579569767,False,False
train,Pneumothorax,223414,19448,56341,3145,144480,78934,75789,0.24638305419717738,0.039843413484683406,0.6466917919199334,False,False
train,Pleural Effusion,223414,86187,35396,11628,90203,133211,121583,0.6469961189391267,0.08729008865634219,0.4037481984119169,False,False
train,Pleural Other,223414,3523,316,2653,216922,6492,3839,0.542667898952557,0.40865680837954405,0.9709418389178834,False,False
train,Fracture,223414,9040,2512,642,211220,12194,11552,0.7413482040347712,0.052648843693619815,0.9454197140734242,False,False
train,Support Devices,223414,116001,6137,1079,100197,123217,122138,0.9414366524099759,0.00875690854346397,0.4484812948159023,False,False
valid,No Finding,234,38,196,0,0,234,234,0.1623931623931624,0.0,0.0,True,False
valid,Enlarged Cardiomediastinum,234,109,125,0,0,234,234,0.4658119658119658,0.0,0.0,True,False
valid,Cardiomegaly,234,68,166,0,0,234,234,0.2905982905982906,0.0,0.0,True,False
valid,Lung Opacity,234,126,108,0,0,234,234,0.5384615384615384,0.0,0.0,True,False
valid,Lung Lesion,234,1,233,0,0,234,234,0.004273504273504274,0.0,0.0,True,False
valid,Edema,234,45,189,0,0,234,234,0.19230769230769232,0.0,0.0,True,False
valid,Consolidation,234,33,201,0,0,234,234,0.14102564102564102,0.0,0.0,True,False
valid,Pneumonia,234,8,226,0,0,234,234,0.03418803418803419,0.0,0.0,True,False
valid,Atelectasis,234,80,154,0,0,234,234,0.3418803418803419,0.0,0.0,True,False
valid,Pneumothorax,234,8,226,0,0,234,234,0.03418803418803419,0.0,0.0,True,False
valid,Pleural Effusion,234,67,167,0,0,234,234,0.2863247863247863,0.0,0.0,True,False
valid,Pleural Other,234,1,233,0,0,234,234,0.004273504273504274,0.0,0.0,True,False
valid,Fracture,234,0,234,0,0,234,234,0.0,0.0,0.0,True,False
valid,Support Devices,234,107,127,0,0,234,234,0.45726495726495725,0.0,0.0,True,False
all,No Finding,223648,22419,196,0,201033,22615,22615,0.9913331859385364,0.0,0.8988812777221348,False,False
all,Enlarged Cardiomediastinum,223648,10907,21763,12403,178575,45073,32670,0.24198522397000422,0.27517582588245737,0.798464551437974,False,False
all,Cardiomegaly,223648,27068,11282,8087,177211,46437,38350,0.5828972586515063,0.17414992355233974,0.7923656817856631,False,False
all,Lung Opacity,223648,105707,6707,5598,105636,118012,112414,0.8957309426160052,0.04743585398095109,0.47233152096151093,False,False
all,Lung Lesion,223648,9187,1503,1488,211470,12178,10690,0.754393168007883,0.12218755132205616,0.9455483617112606,False,False
all,Edema,223648,52291,20915,12984,137458,86190,73206,0.6066945121243764,0.15064392620953707,0.6146176133924739,False,False
all,Consolidation,223648,14816,28298,27742,152792,70856,43114,0.2091001467765609,0.39152647623348763,0.6831807125482902,False,False
all,Pneumonia,223648,6047,3025,18770,195806,27842,9072,0.21718985705049926,0.6741613389842683,0.8755097295750465,False,False
all,Atelectasis,223648,33456,1482,33739,154971,68677,34938,0.48714999199149644,0.4912707311035718,0.6929237015309773,False,False
all,Pneumothorax,223648,19456,56567,3145,144480,79168,76023,0.24575586095392077,0.03972564672594988,0.6460151666905136,False,False
all,Pleural Effusion,223648,86254,35563,11628,90203,133445,121817,0.6463636704260182,0.08713702274345236,0.4033257619115753,False,False
all,Pleural Other,223648,3524,549,2653,216922,6726,4073,0.5239369610466845,0.3944394885518882,0.9699259550722564,False,False
all,Fracture,223648,9040,2746,642,211220,12428,11786,0.7273897650466689,0.05165754747344706,0.9444305336958077,False,False
all,Support Devices,223648,116108,6264,1079,100197,123451,122372,0.9405189103368948,0.008740309920535273,0.44801205465731864,False,False
